"id","name","category","price","duration","description","time","image","about","benefits","bullets","process","processSteps","isMaster","masterPoojaId","templeId","templeDetails","packages","faqs","reviews","createdAt","updatedAt","status"
"cmn757vzt000zl0ltsv7b9jk1","Akhand Jyoti Deepam","","430","","[]","","/uploads/poojas/image-1774509633199-329540567.jpg","pooja","[]","[]",,"[]","false","cmn757yvw0011l0ltdf19wmgt","cmn73wa5u000il0jqzfffd9nw",,"[{""name"":""Single"",""price"":430,""maxPersons"":1,""description"":""For 1 person""},{""name"":""Couple"",""price"":500,""maxPersons"":2,""description"":""For 2 people""}]","[]",,"2026-03-26 07:20:33.209","2026-04-02 12:17:36.427","true"
"cmn757yvw0011l0ltdf19wmgt","Akhand Jyoti Deepam","Special Pooja","430","","[]","","/uploads/poojas/image-1775203485954-530898510.jpg","Akhand Jyoti Deepam is a sacred ritual in which a lamp (deepam) is lit continuously without interruption as a symbol of divine presence, purity, and eternal light. Devotees keep the flame burning with devotion and faith, offering prayers for blessings, protection, and spiritual growth. It represents the removal of darkness and the arrival of positivity in life.","[""Brings peace & positivity – Creates a calm, spiritual atmosphere at home or temple."",""Divine blessings – Symbolizes the presence of God and invites blessings of prosperity."",""Spiritual growth – Encourages devotion, discipline, and inner strength."",""Removes negativity – Continuous flame is believed to purify surroundings and remove negative energies.""]","[]",,"[]","true",,,,"[{""name"":""Single"",""price"":430,""description"":""For 1 person""},{""name"":""Couple"",""price"":0,""description"":""For 2 people""}]","[]",,"2026-03-26 07:20:36.956","2026-04-08 05:01:51.694","true"
"cmn75k57s0015l0lt6zcrwv68","Mangala Aarti","Daily Ritual","25","","[]","","/uploads/poojas/image-1775283164436-13885655.jpg","Mangala Aarti is a sacred ritual performed in the early morning to welcome divine energy and begin the day with positivity and devotion. It involves offering light (aarti) along with prayers and devotional songs, creating a peaceful and spiritually uplifting atmosphere. This ritual symbolizes the removal of darkness and the awakening of divine blessings.","[""Improves focus and mental clarity throughout the day ."",""Creates a sense of devotion and spiritual awakening ."",""Brings emotional balance and reduces stress."",""Encourages a routine of prayer and inner stability.""]","[]",,"[]","true",,,,"[{""name"":""Single"",""price"":25,""description"":""For 1 person""},{""name"":""Couple"",""price"":100,""description"":""For 2 people""},{""name"":""Family"",""price"":600,""description"":""Upto 5 people""}]","[]",,"2026-03-26 07:30:05.033","2026-04-10 09:46:39.141","true"
"cmn75sr470018l0lt95pxrdvj","iccha purti pooja","iccha purti pooja","550","","[]","","/uploads/poojas/image-1774510606656-689605304.jpg","","[]","[]",,"[]","false","cmn75su7k001al0lte96fb8od","cmn73wa5u000il0jqzfffd9nw",,"[{""name"":""Single"",""price"":550,""maxPersons"":1,""description"":""For 1 person""}]","[]",,"2026-03-26 07:36:46.663","2026-04-02 12:17:36.425","true"
"cmn75su7k001al0lte96fb8od","Iccha purti pooja","iccha purti pooja","550","","[]","","/uploads/poojas/image-1775203272178-547262751.jpg","Iccha Purti Pooja (Wish Fulfillment Ritual) is a general Hindu pooja performed to seek blessings from God for the fulfillment of personal desires and wishes. In this pooja, devotees pray with devotion and faith, offering flowers, fruits, and prayers to their chosen deity. It is believed that performing this pooja with a pure heart helps remove obstacles, brings positivity, and increases the chances of achieving one’s goals and desires.","[""Helps in fulfillment of personal wishes and desires ."",""Brings peace, positivity, and mental satisfaction ."",""Strengthens faith and spiritual connection ."",""Attracts prosperity, success, and good fortune."",""Provides inner strength to achieve goals.""]","[]",,"[]","true",,,,"[{""name"":""Single"",""price"":550,""maxPersons"":1,""description"":""For 1 person""}]","[]",,"2026-03-26 07:36:50.672","2026-04-04 05:35:10.615","true"
"cmn8ocqj20007l0q9saew42k6","Ashtottar Kumkum Archana","","500","","[]","","/uploads/poojas/image-1774602238280-488016933.jpg","","[]","[]",,"[]","false","cmnn6kllv00bxl0g7dk8c3c1v","cmn8gw8m00001l0rlou9ew4x5",,"[{""name"":""Single"",""price"":500,""maxPersons"":1,""description"":""For 1 person""}]","[]",,"2026-03-27 09:03:58.286","2026-04-09 07:57:31.252","true"
"cmn8owzto000bl0q9nbyqxlgg","Brahmin Bhojan","Special Pooja","1500","","[]","","/uploads/poojas/image-1774603204209-878813023.jpg","","[]","[]",,"[]","false",,"cmn8gw8m00001l0rlou9ew4x5",,"[{""name"":""Single"",""price"":1500,""maxPersons"":1,""description"":""For 1 person""}]","[]",,"2026-03-27 09:19:43.452","2026-04-09 07:57:31.25","true"
"cmn8oy5ad000dl0q9wnc1oosb","Sahasra Kumkum Archana","Special Pooja","800","","[]","","/uploads/poojas/image-1774606257006-669690621.jpg","","[]","[]",,"[]","false",,"cmn8gw8m00001l0rlou9ew4x5",,"[{""name"":""Single"",""price"":800,""maxPersons"":1,""description"":""For 1 person""}]","[]",,"2026-03-27 09:20:37.189","2026-04-09 07:57:31.251","true"
"cmn8qfbbl000fl0q9gbn1760i","Satyanarayan Pooja","Special Pooja","800","","[]","","/uploads/poojas/image-1775129550514-914310771.jpg","Satyanarayan Pooja is a sacred Hindu ritual performed to honor Lord Vishnu, the preserver of the universe. It is believed that performing this pooja with devotion brings prosperity, happiness, and fulfillment of wishes. This ritual is usually done on full moon days, special occasions, or family celebrations to invoke divine blessings for health, wealth, and harmony in life. The pooja involves chanting sacred mantras, offering fruits, flowers, and the Satyanarayan Vrat Katha, followed by prasad distribution.","[""Brings peace and harmony in family life."",""Attracts prosperity and financial stability."",""Removes obstacles and negative energies."",""Strengthens faith and spiritual growth."",""Fulfills wishes and desires of devotees.""]","[]",,"[]","false","cmn8xxlgd0020l0q90qk1ksm3","cmn8gw8m00001l0rlou9ew4x5",,"[{""name"":""Single"",""price"":800,""maxPersons"":1,""description"":""For 1 person""}]","[]",,"2026-03-27 10:01:57.778","2026-04-09 07:57:31.279","true"
"cmn8xxlgd0020l0q90qk1ksm3","Satyanarayan Pooja","Special Pooja","800","","[]","","/uploads/poojas/image-1775202933406-466220343.jpg","Satyanarayan Pooja is a sacred Hindu ritual performed to seek blessings for prosperity, harmony, and success in life. The pooja involves offering prayers, fruits, sweets, and listening to the holy katha with devotion and faith. It is commonly performed on special occasions like housewarming, marriage, or after achieving important milestones, bringing peace and positivity to the surroundings.","[""Brings prosperity, success, and good fortune."",""Promotes peace, happiness, and family harmony."",""Strengthens faith and spiritual connection."",""Fulfills wishes and desires with sincere devotion.""]","[]",,"[]","true",,,,"[{""name"":""Single"",""price"":800,""maxPersons"":1,""description"":""For 1 person""}]","[]",,"2026-03-27 13:32:08.029","2026-04-08 05:01:51.694","true"
