"id","name","description","category","status","image","templeId","createdAt","updatedAt","categoryId","highlights","longDescription","shippingInfo","origin","rating","weight","length","width","height","sellerId"
"cmn8i25z0000ul0rlnhd4b1d0","Pitambari Chandan Tika Powder","Pitambari  Chandan Tikka is a sacred offering made from pure, natural sandalwood (chandan), specially crafted for religious and spiritual rituals. With its soothing fragrance and cooling properties, it holds a revered place in daily pooja, tilak ceremonies, and traditional worship practices.

This Chandan Tikka is smooth in texture, easy to apply, and provides a calming effect on the forehead during meditation and prayers. Known to symbolize purity and devotion, applying Chandan Tikka is believed to enhance focus, reduce stress, and invite divine blessings.

Ideal for temples, homes, and festive occasions, Pitambari  Chandan Tikka is your perfect companion for spiritual upliftment and devotion.","Puja Essentials","approved","/uploads/products/product-1774591667372-277204544.jpg",,"2026-03-27 06:07:47.388","2026-04-04 12:00:19.105","cmn73wa64000sl0jqe890mvgw","Product Highlights","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10","cmn73wa63000rl0jq86jl1i43"
"cmnigxxq7000ll0g7i8z13nh4","Puja Thali Set","A Brass Puja Thali is a traditional plate used during Hindu rituals to hold essential pooja items like diya, incense sticks, kumkum, haldi, flowers, and prasad. Made from durable brass, it is considered auspicious and adds a spiritual and elegant touch to daily worship and festive ceremonies.","Puja Essentials","approved","/uploads/products/product-1775284302464-842078026.jpg","cmn73wa5u000il0jqzfffd9nw","2026-04-03 05:34:12.224","2026-04-06 12:46:06.229","cmn73wa64000sl0jqe890mvgw","new Product Highlights","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10",
"cmnjyqabj005xl0g7b68sekdb","Brass Puja Thali Set","A Brass Puja Thali is a traditional plate used during Hindu rituals to hold essential पूजा items like diya, incense sticks, kumkum, haldi, flowers, and prasad. Made from durable brass, it is considered auspicious and adds a spiritual and elegant touch to daily worship and festive ceremonies.","Puja Essentials","approved","/uploads/products/product-1775284794534-445378066.jpg",,"2026-04-04 06:39:54.559","2026-04-04 09:22:27.282","cmn73wa64000sl0jqe890mvgw","","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10",
"cmnk4j4og006nl0g711m8w9e5","Digital Finger Counter","A Digital Finger Counter is a smart electronic device or system that uses sensors or camera technology to detect and count fingers automatically. It is commonly used for attendance tracking, gesture recognition, or interactive applications, providing accurate and real-time counting without manual effort.","Puja Essentials","approved","/uploads/products/product-1775294538343-979948881.jpg",,"2026-04-04 09:22:18.352","2026-04-04 12:06:11.682","cmn73wa64000sl0jqe890mvgw","","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10",
"cmnk5j0700071l0g74biairns","Silver Ganesh Moorti","A beautifully crafted Lord Ganesha murti made from pure silver(40 Grams ), symbolizing wisdom, prosperity, and good fortune. This idol comes with a BIS hallmark certification, ensuring authenticity and purity of silver. Designed with fine detailing and a radiant finish, it adds divine elegance to your home temple or workspace. Ideal for daily पूजा, festive rituals, and gifting purposes, this murti brings positivity and removes obstacles from life.","Idols & Murtis","approved","/uploads/products/product-1775296212145-349379058.jpg",,"2026-04-04 09:50:12.157","2026-04-04 10:00:09.296","cmnk4o8m9006ql0g7fcwx2sdb","MAA SILVER Pure Silver Ganesha Ganpati ji BIS Hallmarked Hollow Idol/Murti Perfect for Gifting Home Office Puja Good Luck Wishes (999 Purity)(40 Grams Silver)","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10","cmnk54ane006wl0g76rntqcqy"
"cmnk64axo0079l0g7excz6qtk","Divine 999 Silver Lakshmi Yantra Frame","Bring divine blessings and positive energy into your home with this beautifully crafted 999 Pure Silver Lakshmi Yantra Frame. Designed with intricate detailing, the sacred Yantra represents wealth, prosperity, and abundance. The premium silver finish adds a touch of elegance, making it perfect for both spiritual and decorative purposes. Ideal for home temples, offices, or as a thoughtful gift for loved ones, this frame enhances the ambiance while inviting peace and prosperity into your space.","Rudraksha & Spiritual Items","approved","/uploads/products/product-1775297205841-654332478.jpg",,"2026-04-04 10:06:45.852","2026-04-04 10:07:52.601","cmnk4prbx006sl0g7joueptqv","","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10","cmnk54ane006wl0g76rntqcqy"
"cmnk6e97g007gl0g7452i0ej3","Goddess Lakshmi Silver Footprints","Goddess Lakshmi Silver Footprints is a sacred symbol representing the divine presence and blessings of Goddess Lakshmi, the goddess of wealth and prosperity. Crafted from pure silver, these auspicious footprints are ideal for placing in your home temple, entrance, or locker to invite positivity, abundance, and good fortune. The finely detailed design enhances spiritual vibrations and adds a touch of elegance to your pooja setup. Perfect for daily worship, festive occasions like Diwali, or as a meaningful gift.","Rudraksha & Spiritual Items","approved","/uploads/products/product-1775297670162-367330030.jpg",,"2026-04-04 10:14:30.172","2026-04-04 12:05:16.232","cmnk4prbx006sl0g7joueptqv","Laxmi Charan Idol: A beautiful statue depicting the divine feet of the Hindu goddess Laxmi.
Intricate Detailing: Meticulously crafted with intricate designs and patterns that capture the essence of Indian art and culture.
Spiritual Significance: A revered symbol of prosperity, wealth, and good fortune, making it an auspicious addition to any home or place of worship.
Versatile Display: Can be placed on a mandir, altar, or any sacred space for prayer and devotion.
Durable Construction: Crafted from high-quality materials to ensure longevity and lasting beauty.","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10","cmnk54ane006wl0g76rntqcqy"
"cmnk7jiiw007ll0g71dhkkr9o","Gaja Lakshmi Silver Idol","Gaja Lakshmi Silver Idol is a beautifully crafted representation of Goddess Lakshmi seated gracefully, flanked by two elephants (Gaja) symbolizing power, prosperity, and royal authority. Made from pure silver with fine detailing, this idol is perfect for home temples, offices, or gifting on auspicious occasions. It is believed to attract wealth, abundance, and positive energy while bringing peace and success into the surroundings. Ideal for daily पूजा and festive rituals.","Idols & Murtis","approved","/uploads/products/product-1775299595122-325299223.jpg",,"2026-04-04 10:46:35.144","2026-04-04 12:16:03.195","cmnk4o8m9006ql0g7fcwx2sdb","","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10","cmnk54ane006wl0g76rntqcqy"
"cmnkb928z007wl0g7shnjzx5l","Hand Crafted Metal Brass Bell","Hand Crafted Metal Brass Bell is a beautifully designed traditional bell made from high-quality brass with fine craftsmanship. It produces a clear, soothing sound that creates a peaceful and spiritual atmosphere during पूजा and rituals. Ideal for home temples, mandirs, and spiritual spaces, this bell is believed to purify surroundings, remove negative energies, and invite positive vibrations. Durable and elegant, it also adds a classic decorative touch to your sacred space.","Puja Essentials","approved","/uploads/products/product-1775305825949-508681660.jpg",,"2026-04-04 12:30:25.955","2026-04-04 12:30:25.955","cmn73wa64000sl0jqe890mvgw","Home Decor, Perfect for Gifting
Hand crafted in India
Suited for puja purpose
Size-5 inches(appx. )","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10",
"cmnkbzv330080l0g7x6jen1wp"," lakshmi ganesh silver coin(5g)","Lakshmi Ganesh Silver Coin(5g) is a beautifully crafted pure silver coin featuring the divine images of Goddess Lakshmi and Lord Ganesha, symbolizing wealth, prosperity, and success. Made with fine detailing and high-quality silver, it is perfect for पूजा, gifting, and festive occasions like Diwali. This sacred coin is believed to attract good fortune, remove obstacles, and bring positive energy into your home and workplace.","Rudraksha & Spiritual Items","approved","/uploads/products/product-1775307076374-186347182.jpg",,"2026-04-04 12:51:16.383","2026-04-04 12:51:16.383","cmnk4prbx006sl0g7joueptqv","","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10","cmnk54ane006wl0g76rntqcqy"
"cmnmqoao5008bl0g7l6ntvtb0","Brass Diya Oil Puja Lamp","The Brass Diya Oil Puja Lamp is a beautifully crafted traditional lamp made from high-quality brass, designed for daily worship and festive rituals. It provides a steady and bright flame, creating a peaceful and spiritual atmosphere in your home or temple. Its durable build ensures long-lasting use, while the elegant design adds a touch of tradition and devotion. Ideal for aarti, pooja ceremonies, and special occasions, this diya symbolizes purity, positivity, and divine blessings.","Puja Essentials","approved","/uploads/products/product-1775452663267-496240750.jpg",,"2026-04-06 05:17:43.302","2026-04-06 05:18:54.028","cmn73wa64000sl0jqe890mvgw","This product is used for lighting lamp using the cotton wicks. It is an integral custom or tradition to start all the auspicious events by lighting the lamp to create a spiritual atmosphere.
Size: Height 2.1 Inches x Width 1.5 Inches x Length 1.5 Inches x Depth 1 Inches | Weight: 50 Grams Each | Material: Brass
This is beautiful decorative design Brass Diya with Turtle Base which provide a unique and vintage look of your home.","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10",
"cmnmr1d08008gl0g73kzixbh1","Silver-Plated Kamdhenu Cow with Calf Idol","The Silver-Plated Kamdhenu Cow with Calf Idol is a sacred and beautifully designed piece that represents prosperity, nourishment, and divine blessings. Crafted with fine detailing and a shining silver finish, it adds a spiritual charm to your pooja space or home décor. In Hindu tradition, Kamdhenu is considered the wish-fulfilling cow, bringing peace, wealth, and positivity. This idol is ideal for daily worship, vastu placement, or gifting on auspicious occasions.","Idols & Murtis","approved","/uploads/products/product-1775453272832-881672763.jpg",,"2026-04-06 05:27:52.856","2026-04-06 05:36:19.052","cmnk4o8m9006ql0g7fcwx2sdb","Sacred Symbol of Prosperity – Kamdhenu cow with calf idol, revered for abundance, purity, protection, and vastu benefits.
Intricate Silver Design – Beautifully crafted idol in silver plating, representing the nurturing bond of cow and calf.
Positive Energy & Vastu Remedy – Believed to attract peace, harmony, and financial growth when placed in the right direction.
Timeless Collectible – A radiant silver Gomatha statue, adding both spiritual value and aesthetic charm to your home.","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10","cmnk54ane006wl0g76rntqcqy"
"cmnmrbbgt008kl0g73bu2n09g","Brass OM Wall Hanging Sculpture | Vastu Fengshui Goodluck","The Brass OM Wall Hanging Sculpture is a beautifully crafted decorative piece that symbolizes peace, positivity, and spiritual energy. Made from high-quality brass, it features the sacred “Om” symbol, known to bring harmony and balance to any space. Ideal for home décor, pooja rooms, or entrances, it enhances the aesthetic appeal while promoting good luck and positive vibrations as per Vastu and Feng Shui principles. Durable and elegant, it is perfect for daily inspiration or gifting on special occasions.","Rudraksha & Spiritual Items","approved","/uploads/products/product-1775453737396-809581232.jpg","cmnir2mtd002nl0g7oxkgz3ks","2026-04-06 05:35:37.411","2026-04-06 05:36:26.054","cmnk4prbx006sl0g7joueptqv","eSplanade Brass OM Sculpture Wall Hanging for Wall or Door Decor.
Handmade product by the skilled artisans.
Dimensions: | Contains: 1 Om Wall Hanging.
We support Artisans and want to conserve the arts & crafts of old times.","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10",
"cmnmrphfv008ql0g7mr5vs7ij","Shree Krishna Divine Wooden Wall Art","This beautifully crafted wooden wall plaque of Lord Krishna showcases divine elegance and spiritual charm. Designed with fine detailing, it brings a sense of peace, love, and positivity to your home décor. Ideal for living rooms, pooja spaces, or entrances, it enhances the aesthetic appeal while creating a भक्तिमय atmosphere. A perfect choice for gifting on religious occasions or festivals, symbolizing devotion and harmony.","Spiritual Items","approved","/uploads/products/product-1775454398327-892487356.jpg","cmnihvrmq0016l0g70ky43oeh","2026-04-06 05:46:38.347","2026-04-07 07:11:28.172","cmnk4prbx006sl0g7joueptqv","","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10",
"cmnmso4x7008ul0g7x8320mg6","Divine Aura Wooden Incense Holder Tower","Enhance your spiritual space with this beautifully handcrafted wooden incense holder tower, designed for both elegance and functionality. Made from premium quality wood with intricate carved patterns and decorative metal accents, it safely holds incense sticks while allowing the fragrance to diffuse gently. Its enclosed design helps collect ash neatly, keeping your surroundings clean. Perfect for daily पूजा, meditation, and creating a calming ambiance at home or office.","Puja Essentials","approved","/uploads/products/product-1775456015075-811004172.jpg",,"2026-04-06 06:13:35.083","2026-04-07 07:12:13.608","cmn73wa64000sl0jqe890mvgw","","","Ships in 24-48 Hours","India","4.5","0.5","10","10","10",
