"id","name","location","fullAddress","description","history","image","liveUrl","channelId","heroImages","gallery","rating","reviewsCount","category","liveStatus","openTime","phone","website","mapUrl","viewers","isLive","userId","createdAt","updatedAt","poojaCommissionRate","productCommissionRate","templeId","slug","isActive","accountHolderName","accountNumber","bankName","ifscCode","upiId","subdomain","urlType","pickupLocation","isPrimaryLive","operatingHours"
"cmn73wa5d0003l0jqyvnqg8eh","Shree Udyan Ganesh Mandir","Mumbai, Maharashtra","Veer Savarkar Marg, Shivaji Park Ground, Dadar West, Mumbai, Maharashtra – 400028, India","Shree Udyan Ganesh Mandir enshrines a sacred idol of Lord Ganesh with a right-turned trunk, flanked by the idols of Riddhi and Siddhi. The temple is known for its peaceful environment, strong community bond, and regular participation in religious, social, and charitable activities.","The origins of Shree Udyan Ganesh Mandir date back to 1963, when the idol of Lord Ganesh was discovered beneath a banyan tree at Shivaji Park. As devotion grew among local residents, the temple was officially established on 1 March 1970. Today, it stands as a respected spiritual and cultural landmark in the Shivaji Park area.","/uploads/temples/1775130991069-cropped-image.jpg",,,"[""/uploads/temples/1775110785513-cropped-image.jpg"",""/uploads/temples/1775111013149-cropped-image.jpg""]",,"4.4","0","Ganesh","false","6:00 AM - 9:00 PM","222446663","https://shreeudyanganesh.com/","https://maps.app.goo.gl/A4T8efyJBCK39uiC9","","true","cmn73wa5a0001l0jq2ru9kt30","2026-03-26 06:43:32.065","2026-04-18 05:00:50.661","5","10",,"shree-udyan","true",,,,,,"shree-udyan","slug","TEMPLE_HC9IT","false","[{""end"":""01:00 PM"",""label"":""Morning"",""start"":""07:00 AM"",""active"":true},{""end"":""10:00 PM"",""label"":""Evening"",""start"":""05:00 PM"",""active"":true}]"
"cmn73wa5i0006l0jq3tbfyl71","Kashi Vishveshwar Mandir","Mumbai, Maharashtra","Takandas Kataria Marg, Lokmanya Nagar, Joshi Vadi, Matunga East, Mumbai, Maharashtra – 400016, India","The temple is dedicated to Lord Shiva, worshiped locally as Vishveshwar — “Lord of the Universe.” It serves as a calm spiritual space within the busy Matunga area, where devotees regularly offer prayers and perform rituals.","Kashi Vishveshwar Mandir is a longstanding Shiva temple in Matunga East, known for its peaceful atmosphere and traditional worship practices. Devotees often visit especially during Mahashivratri and other major Hindu festivals.","/uploads/temples/1775220921879-cropped-image.jpg",,,"[]",,"4.6","0","Shiva","false","6:00 AM - 9:00 PM","7080292930","https://www.shrikashivishwanath.org/","https://maps.app.goo.gl/4gBS6ZkaVWzNSbZ77","","true","cmn73wa5g0004l0jqtxyahq03","2026-03-26 06:43:32.071","2026-04-18 05:00:48.063","5","10",,"kashi-vishveshwar","true",,,,,,"kashi-vishveshwar","slug","TEMPLE_3RPXZ","false","[{""end"":""01:00 PM"",""label"":""Morning"",""start"":""07:00 AM"",""active"":true},{""end"":""11:00 PM"",""label"":""Evening"",""start"":""04:00 PM"",""active"":true}]"
"cmn73wa5l0009l0jqb84rad6y","Sitladevi Temple","Mumbai, Maharashtra","Sitladevi Temple Rd, Mahim, Mumbai, Maharashtra 400016, India","The temple is dedicated to Goddess Sitladevi (also called Shitladevi), a manifestation of the Mother Goddess. Sitladevi is traditionally worshipped as a protector against disease and hardship.","Sitladevi Temple in Mahim is a revered local place of worship and heritage shrine serving the community for many decades. Dedicated to Goddess Sitladevi — the deity associated with health and protection.","/uploads/temples/1775219298466-cropped-image.jpg",,,"[""/uploads/temples/1775113097830-cropped-image.jpg""]",,"4.3","0","Sitladevi (Sitala Mata)","false","6:00 AM - 9:00 PM","22404482","https://www.kelwashitladevi.org/","https://maps.app.goo.gl/998cqt4FGYYmVRtw9","","true","cmn73wa5k0007l0jqxnb4b3b2","2026-03-26 06:43:32.074","2026-04-18 05:00:43.671","5","10",,"sitladevi-","true",,,,,,"sitladevi-","slug","TEMPLE_F7BEN","false","[{""end"":""01:00 PM"",""label"":""Morning"",""start"":""07:00 AM"",""active"":true},{""end"":""09:00 PM"",""label"":""Evening"",""start"":""04:00 PM"",""active"":true}]"
"cmn73wa5o000cl0jqds1a1dyu","Ganpatipule Temple","Ganpatipule, Ratnagiri","Ganpatipule, Ratnagiri, Maharashtra 415622, India","The temple enshrines a majestic idol of Lord Ganesha facing west toward the Arabian Sea, symbolizing divine protection from the western direction.","Ganpatipule Temple is a historic shrine dedicated to Lord Ganesha, believed to be a Swayambhu (self-manifested) idol that emerged from the earth centuries ago.","/uploads/temples/1775108951411-cropped-image.jpg",,,"[""/uploads/temples/1775108951418-cropped-image.jpg""]",,"4.5","0","Hindu Temple","false","6:00 AM - 9:00 PM","086699311","https://www.ganpatipule.co.in/Mar/Home","https://maps.app.goo.gl/CStu7ihGRra3d3be7","","true","cmn73wa5n000al0jq8wy0d6bv","2026-03-26 06:43:32.077","2026-04-18 05:00:40.896","5","10",,"ganpatipule","true",,,,,,"ganpatipule","slug","TEMPLE_LVEYZ","false","[{""end"":""01:00 PM"",""label"":""Morning"",""start"":""07:00 AM"",""active"":true},{""end"":""10:00 PM"",""label"":""Evening"",""start"":""05:00 PM"",""active"":true}]"
"cmn73wa5r000fl0jq81fxfkif","Ballaleshwar Mandir, Pali","Pali, Raigad","Taluka Sudhagad, District Raigad, Pali, Maharashtra 410205, India","The temple enshrines Lord Ganapati with his trunk turned left, seated on a stone throne flanked by Siddhi and Riddhi. Built in the shape of the sacred syllable “Shri”.","Ballaleshwar Mandir at Pali is one of the sacred Ashtavinayak temples dedicated to Lord Ganesha and is unique because it is named after a devotee, Ballal.","/uploads/temples/1776059800139-cropped-image.jpg","","","[]",,"0","0","Hindu Temple (Ashtavinayak Shrine)","false","6:00 AM - 9:00 PM","8087874195","https://www.shreeballaleshwarpali.org/","https://maps.app.goo.gl/oq8ra6sat6fAqXsZA","","true","cmn73wa5q000dl0jq3z6uccrb","2026-03-26 06:43:32.079","2026-04-18 05:00:37.302","5","10",,"balleshwar-pali","true",,,,,,"balleshwar-pali","slug","TEMPLE_H87IE","false","[{""end"":""01:00 PM"",""label"":""Morning"",""start"":""07:00 AM"",""active"":true},{""end"":""10:00 PM"",""label"":""Evening"",""start"":""05:00 PM"",""active"":true}]"
"cmn73wa5u000il0jqzfffd9nw","Ambabai Mandir (Mahalaxmi Temple)","Kolhapur, Maharashtra","Shree Ambabai (Mahalaxmi) Temple, Mahadwar Road, B Ward, Kolhapur, Maharashtra 416012, India","The temple is dedicated to Goddess Mahalaxmi (Ambabai), revered as a powerful form of the Mother Goddess associated with wealth, prosperity, and spiritual power.","Ambabai Mandir, commonly known as the Mahalaxmi Temple of Kolhapur, dates back to the 7th century CE, originally established under the Chalukya dynasty.","/uploads/temples/1775117739283-cropped-image.jpg","https://www.youtube.com/watch?v=XcKsNj9E3_g","https://www.youtube.com/watch?v=XcKsNj9E3_g","[""/uploads/temples/1775112220106-cropped-image.jpg"",""/uploads/temples/1775112220115-cropped-image.jpg""]",,"4.7","0","Hindu Temple (Shakti Peetha)","true","6:00 AM - 9:00 PM","9876543211","https://www.mahalaxmikolhapur.com/home","https://maps.app.goo.gl/7oA5AmVkN9Yy2jng9","'6000'","true","cmn73wa5t000gl0jqf3lt8crk","2026-03-26 06:43:32.083","2026-04-18 05:00:34.786","5","10",,"ambabai","true",,,,,,"ambabai","subdomain","TEMPLE_JK8TR","false","[{""end"":""01:00 PM"",""label"":""Morning"",""start"":""07:00 AM"",""active"":true},{""end"":""10:00 PM"",""label"":""Evening"",""start"":""05:00 PM"",""active"":true}]"
"cmn8gw8m00001l0rlou9ew4x5","Shree Ravalnath Temple","Pernem, Pernam Municipal Area, Goa 403512","Shree Ravalnath Mandir, Opp. Pernem Bus Stand,  Pernem, Pernam Municipal Area, Goa 403512","Shree Ravalnath Temple in Pernem, Goa, is a prominent and revered temple dedicated to Lord Ravalnath, worshipped as a powerful guardian deity (Kshetrapal) across Goa and the Konkan region. Known as a Gramdaivat for many local families, this temple holds deep spiritual, cultural, and historical significance among devotees.

The temple is widely visited by devotees seeking protection from negative energies, resolution of personal and family issues, and overall peace and well-being. Lord Ravalnath is believed to be a divine protector who safeguards devotees and ensures justice, making this temple a key spiritual destination in North Goa.

Shree Ravalnath Temple, Pernem, is especially vibrant during major festivals and traditional celebrations, where rituals and poojas are performed with great devotion. The temple continues to preserve age-old customs and attracts devotees from across Goa and nearby regions.

If you are looking to book poojas online at Ravalnath Temple in Pernem or seek divine blessings for protection, peace, and prosperity, this temple remains a significant centre of faith and devotion.",,"/uploads/temples/1775219753768-cropped-image.jpg","https://www.youtube.com/watch?v=8VdGktJ-CzQ","","[""/uploads/temples/1774621435872-cropped-image.jpg""]",,"4.5","0","Shiv","false","""""","9999999999","www.RavalnathPernem.devbhakti.in ","https://maps.app.goo.gl/pUiX4McA6bspZJjB8","""5000""","true","cmn8gw8m00000l0rlvvekx47r","2026-03-27 05:35:11.256","2026-04-19 14:04:40.475","5","10","TMP-ISR8NA","shree-ravalnath-temple","true",,,,,,"shree-ravalnath-temple","slug","TEMPLE_Y70Q7","false","[{""end"":""01:10 PM"",""label"":""Morning"",""start"":""09:00 AM"",""active"":true},{""end"":""8:15 PM"",""label"":""Evening"",""start"":""04:00 PM"",""active"":true}]"
"cmng3hjfs005yl0jymcynyzg7","Shree Jyotiba Devsthan ","Kolhapur , Maharashtra","Jyotiba Dongar, Wadi Ratnagiri, Kolhapur, Maharashtra 416229, India","Shree Jyotiba Devsthan is a famous hilltop temple near Kolhapur dedicated to Lord Jyotiba, believed to be an incarnation of Brahma, Vishnu, and Shiva.
It is widely known for its spiritual importance and the grand Chaitra Poornima festival, where the temple turns pink with gulal.",,"/uploads/temples/1775218701386-cropped-image.jpg",,,"[""/uploads/temples/1775050919775-cropped-image.jpg""]",,"4.5","0","Lord Jyotiba (Kedareshwar)","false","","9274232310","https://shreejyotiba.com/","https://maps.app.goo.gl/nyZt3ety2ppkkXQg7","","false","cmng3hjfs005xl0jy99pwdp7f","2026-04-01 13:41:59.848","2026-04-18 05:00:06.426","5","10","TMP-HRY6EV","shree-jyotiba-devsthan","true",,,,,,"shree-jyotiba-devsthan","slug","TEMPLE_MC3W0","false","[{""end"":""01:00 PM"",""label"":""Morning"",""start"":""07:00 AM"",""active"":true},{""end"":""10:00 PM"",""label"":""Evening"",""start"":""03:00 PM"",""active"":true}]"
"cmnhd5ar8007xl0jynoli1b47","Shrimant Dagdusheth Halwai Ganpati Mandir","Budhwar Peth, Pune City","","One of Pune’s most iconic and visited temples, built in the late 19th century by Dagdusheth Halwai and his wife. The temple is famous for its richly ornamented Ganesha idol and grand celebrations during Ganesh Chaturthi.",,"/uploads/temples/1775127610989-cropped-image.jpg",,,"[]",,"4.5","0","Lord Ganesha","false","","20244964","https://www.dagdushethganpati.com/","https://maps.app.goo.gl/q4GSLChGWsaVYXHZ9","","false","cmnhd5ar8007wl0jy1g8r6y4l","2026-04-02 11:00:11.06","2026-04-18 05:00:03.479","5","10","TMP-TXYBJT","shrimant-dagdusheth-halwai-ganpati-mandir","true",,,,,,"shrimant-dagdusheth-halwai-ganpati-mandir","slug","TEMPLE_LNNJP","false","[{""end"":""01:00 PM"",""label"":""Morning"",""start"":""06:00 AM"",""active"":true},{""end"":""10:00 PM"",""label"":""Evening"",""start"":""05:00 PM"",""active"":true}]"
"cmnihvrmq0016l0g70ky43oeh","Sri Sri Radha Vrindavanchandra Temple","pune,mharashtra","Survey No. 50, Katraj–Kondhwa Road, Tilekar Nagar, Kondhwa Budruk, Pune, Maharashtra – 411048, India","ISKCON NVCC Pune is one of the largest and most beautiful ISKCON temples in India, also known as the New Vedic Cultural Center. It is dedicated to Radha and Krishna in the form of Shri Shri Radha Vrindavanchandra. The temple features stunning marble architecture, grand domes, and a peaceful spiritual atmosphere. It serves as a center for devotion, cultural programs, and teachings of Vedic philosophy. Daily aartis, bhajans, and prasadam distribution attract thousands of devotees. The temple also promotes spiritual learning through festivals and community activities.","","/uploads/temples/1775196030560-cropped-image.jpg",,,"[]",,"0","0","Radha & Krishna","false","","8380077608","https://www.iskconpune.com/","https://maps.app.goo.gl/iDTGWqsQvRY7ySHf6","4000","false","cmnihvrmk0014l0g7v1jnw084","2026-04-03 06:00:30.626","2026-04-18 04:59:59.586","5","10","TMP-IC2FW6","sri-sri-radha-vrindavanchandra-temple","true",,,,,,"sri-sri-radha-vrindavanchandra-temple","slug","TEMPLE_GVU3R","false","[{""end"":""01:00 PM"",""label"":""Morning"",""start"":""07:00 AM"",""active"":true},{""end"":""10:00 PM"",""label"":""Evening"",""start"":""05:00 PM"",""active"":true}]"
